VEHICLES1	VEHICLES2	CAPA1	CAPA2	P   T   M   W   F   W1  W2  k
15		    10		    25		20	    4   4   3   25  25   0  1   10

D LOCATION	XCOORD		YCOORD
0		41	49
1		30	65

P LOCATION	XCOORD		YCOORD		CAPACITY
0		55	    60	    10
1		55	    40      7
2       58	    15      8
3       35	    40      12

T LOCATION	XCOORD		YCOORD		CAPACITY
0		40	    20      11
1		12	    50      5
2       18	    35      9
3       60	    30      12

M LOCATION	XCOORD		YCOORD		CAPACITY
0		25	45      6
1		45	50      10
2       30	20      7

W CLIENT		XCOORD		YCOORD		DEMAND
0		35	    17    1
1		55	    45    3
2	    55	    20    1
3	    15	    30    1
4	    25	    30    1
5	    20	    50    1
6	    10	    43    1
7	    55	    60    1
8	    30	    60    1
9	    20	    65    1
10      50	    35	   1
11      30	    25	   1
12      15	    10	   1
13      30	    5	   3
14      10	    20	   1
15      5	    30     1
16	    20	    40     2
17	    15	    60     1
18	    45	    65     1
19	    45	    20     3
20	    45	    10     3
21	    55	    5      3
22	    65	    35     1
23	    65	    20     1
24	    45	    30     1

F CLIENT		XCOORD		YCOORD		DEMAND
0	    35	    40     1
1	    41	    37     2
2	    64	    42     2
3	    40	    60     1
4	    31	    52     2
5	    35	    69     1
6	    53	    52     1
7	    65	    55     1
8	    63	    65     2
9	    2	    60     1
10      20	    20     1
11      5	    5      1
12      60	    12     1
13      40	    25     1
14      42	    7      1
15	    24	    12     4
16	    23	    3      1
17	    11	    14     1
18	    6	    38     2
19	    2	    48     1
20	    8	    56     1
21	    13	    52     2
22	    6	    68     2
23	    47	    47     1
24	    49	    58     2
