VEHICLES1	VEHICLES2	CAPA1	CAPA2	P   T   M   W   F   W1  W2  k
15		    10		    25		20	    4   4   3   37  37   0  1   10

D LOCATION	XCOORD		YCOORD
0		41	49
1		30	65

P LOCATION	XCOORD		YCOORD		CAPACITY
0		55	    60	    10
1		55	    40      9
2       58	    15      18
3       35	    40      12

T LOCATION	XCOORD		YCOORD		CAPACITY
0		40	    20      11
1		12	    50      7
2       18	    35      19
3       60	    30      12

M LOCATION	XCOORD		YCOORD		CAPACITY
0		25	45      16
1		45	50      10
2       30	20      9

W CLIENT		XCOORD		YCOORD		DEMAND
0	36	26	2
1	21	45	2
2	45	35	1
3	55	20	2
4	33	34	1
5	50	50	2
6	55	45	1
7	26	59	1
8	40	66	1
9	55	65	1
10	35	51	1
11	62	35	3
12	62	57	2
13	62	24	1
14	21	36	1
15	33	44	1
16	9	56	2
17	62	48	1
18	66	14	1
19	44	13	1
20	26	13	1
21	11	28	2
22	7	43	1
23	17	64	1
24	41	46	3
25	55	34	1
26	35	16	2
27	52	26	1
28	43	26	1
29	31	76	1
30	22	53	1
31	26	29	1
32	50	40	1
33	55	50	2
34	54	10	1
35	60	15	1
36	47	66	1

F CLIENT		XCOORD		YCOORD		DEMAND
0	30	60	1
1	30	50	2
2	12	17	1
3	15	14	1
4	16	19	1
5	21	48	1
6	50	30	1
7	51	42	1
8	50	15	1
9	48	21	1
10	12	38	1
11	15	56	1
12	29	39	2
13	54	38	2
14	55	57	1
15	67	41	1
16	10	70	1
17	6	25	1
18	65	27	1
19	40	60	4
20	70	64	1
21	64	4	1
22	36	6	2
23	30	20	1
24	20	30	2
25	15	5	2
26	50	70	2
27	57	72	1
28	45	42	1
29	38	33	1
30	50	4	2
31	66	8	1
32	59	5	1
33	35	60	1
34	27	24	1
35	40	20	2
36	40	37	2
