VEHICLES1	VEHICLES2	CAPA1	CAPA2	P   T   M   W   F   W1  W2  k
15		    10		    30		25	    3   3   3   15  15   1  500   10

D LOCATION	XCOORD		YCOORD
0		37	    52
1		25	    35

P LOCATION	XCOORD		YCOORD		CAPACITY
0		48	    40	    26
1		55	    60      25
2       12	    60      18

T LOCATION	XCOORD		YCOORD		CAPACITY
0		8	    20      25
1		48	    15      24
2       25	    15      20

M LOCATION	XCOORD		YCOORD		CAPACITY
0		55	    25      30
1		40	    25      20
2       15	    45      65

W CLIENT		XCOORD		YCOORD		DEMAND 56
0		49	    49      1
1		52	    64      2
2	    20	    26      4
3	    40	    30      2
4	    21	    47      4
5	    17	    63      5
6	    31	    62      1
7	    52	    33      3
8	    51	    21      2
9	    42	    41      3
10      42	    57	    3
11      16	    57	    6
12      8	    52	    5
13      7	    38	    5
14      27	    68	    1

F CLIENT		XCOORD		YCOORD		DEMAND
0	    31	    32      6
1	    5	    25      1
2	    12	    42      2
3	    36	    16      5
4	    52	    41      5
5	    27	    23      2
6	    17	    33      4
7	    13	    13      3
8	    57	    58      4
9	    62	    42      2
10      30	    48      5
11      43	    67      1
12      58	    48      4
13      58	    27      2
14      37	    69      1

