VEHICLES1	VEHICLES2	CAPA1	CAPA2	P   T   M   W   F   W1  W2  k
15		    10		    25		20	    4   4   3   25  25   1  0   10

D LOCATION	XCOORD		YCOORD
0		22	22
1		30	65

P LOCATION	XCOORD		YCOORD		CAPACITY
0		55	    60	    10
1		55	    40      7
2       58	    15      8
3       45	    50      12

T LOCATION	XCOORD		YCOORD		CAPACITY
0		35	    40      11
1		40	    20      5
2       12	    50      9
3       30	    20      12

M LOCATION	XCOORD		YCOORD		CAPACITY
0		18	    35      6
1		60	    30      10
2       25	    45      7

W CLIENT		XCOORD		YCOORD		DEMAND
0		36	26     2
1		21	45     2
2	    45	35     1
3	    55	20     2
4	    33	34     1
5	    50	50     2
6	    55	45     1
7	    26	59     1
8	    40	66     1
9	    55	65     1
10      35	51	   1
11      62	35	   3
12      62	57	   2
13      62	24	   1
14      21	36	   1
15      22	53     1
16	    26	29      1
17	    50	40      1
18	    55	50      1
19	    54	10      2
20	    60	15      1
21	    47	66      1
22	    30	60      1
23	    30	50      1
24	    12	17      2

F CLIENT		XCOORD		YCOORD		DEMAND
0	    33	44     1
1	    9	56     2
2	    62	48     1
3	    66	14     1
4	    44	13     1
5	    26	13     1
6	    11	28     1
7	    7	43     2
8	    17	64     1
9	    41	46     3
10      55	34     3
11      35	16     1
12      52	26     2
13      43	26     1
14      31	76     1
15	    15	14      1
16	    16	19      1
17	    21	48      1
18	    50	30      1
19	    51	42      1
20	    50	15      1
21	    48	21      1
22	    12	38      2
23	    15	56      1
24	    29	39      2
