VEHICLES1	VEHICLES2	CAPA1	CAPA2	P   T   M   W   F   W1  W2  k
5		    8		    7		6	    3   3   3   15  15   0  1   5

D LOCATION	XCOORD		YCOORD
0		41	49
1		30	65

P LOCATION	XCOORD		YCOORD		CAPACITY
0		55	    60	    4
1		55	    40      5
2       18	    35      8

T LOCATION	XCOORD		YCOORD		CAPACITY
0		58	    15     6
1		35	    40     3
2       60	    30     9

M LOCATION	XCOORD		YCOORD		CAPACITY
0		40	    20      6
1		12	    50      5
2       25	    45      7

W CLIENT		XCOORD		YCOORD		DEMAND
0		35	    17    1
1		55	    45    3
2	    55	    20    1
3	    15	    30    1
4	    25	    30    1
5	    20	    50    4
6	    10	    43    1
7	    55	    60    3
8	    30	    60    1
9	    20	    65    1
10      35	    51	   3
11      62	    35	   1
12      62	    57	   1
13      62	    24	   2
14      21	    36	   1

F CLIENT		XCOORD		YCOORD		DEMAND
0	    50	    35    1
1	    30	    25    1
2	    15	    10    3
3	    30	    5     1
4	    10	    20    1
5	    5	    30    2
6	    20	    40    1
7	    15	    60    1
8	    45	    65    3
9	    45	    20    3
10      55	    34     1
11      35	    16     2
12      52	    26     2
13      43	    26     1
14      31	    76     2

