VEHICLES1	VEHICLES2	CAPA1	CAPA2	P   T   M   W   F   W1  W2  k
15		    10		    25		20	    4   4   3   38  37   1  0   10

D LOCATION	XCOORD		YCOORD
0		41	49
1		30	65

P LOCATION	XCOORD		YCOORD		CAPACITY
0		55	    60	    10
1		55	    40      9
2       58	    15      8
3       35	    40      12

T LOCATION	XCOORD		YCOORD		CAPACITY
0		40	    20      11
1		12	    50      7
2       18	    35      9
3       60	    30      12

M LOCATION	XCOORD		YCOORD		CAPACITY
0		25	45      16
1		45	50      10
2       30	20      9

W CLIENT		XCOORD		YCOORD		DEMAND
0		35	    17    1
1		55	    45    3
2	    55	    20    1
3	    15	    30    1
4	    25	    30    1
5	    20	    50    1
6	    10	    43    1
7	    55	    60    1
8	    30	    60    1
9	    20	    65    1
10      50	    35	   1
11      30	    25	   1
12      15	    10	   1
13      30	    5	   3
14      10	    20	   1
15      5	    30     1
16	    20	    40     2
17	    15	    60     1
18	    45	    65     1
19	    45	    20     3
20	    45	    10     3
21	    55	    5      3
22	    65	    35     1
23	    65	    20     1
24	    45	    30     1
25	    27	    43      1
26	    37	    31      1
27	    57	    29      1
28	    63	    23      3
29	    53	    12      1
30	    32	    12      1
31	    36	    26      1
32	    21	    24      1
33	    17	    34      1
34	    12	    24      2
35	    24	    58      2
36	    27	    69      3
37	    15	    77      1

F CLIENT		XCOORD		YCOORD		DEMAND
0	    35	    40     1
1	    41	    37     2
2	    64	    42     2
3	    40	    60     1
4	    31	    52     2
5	    35	    69     1
6	    53	    52     1
7	    65	    55     1
8	    63	    65     2
9	    2	    60     1
10      20	    20     1
11      5	    5      1
12      60	    12     1
13      40	    25     1
14      42	    7      1
15	    24	    12     4
16	    23	    3      1
17	    11	    14     1
18	    6	    38     2
19	    2	    48     1
20	    8	    56     1
21	    13	    52     2
22	    6	    68     2
23	    47	    47     1
24	    49	    58     2
25	    62	    77      2
26	    49	    73      2
27	    67	    5       1
28	    56	    39      2
29	    37	    47      1
30	    37	    56      3
31	    57	    68      1
32	    47	    16      1
33	    44	    17      1
34	    46	    13      1
35	    49	    11      3
36	    49	    42      1
